Kleon,1
Locke,1
Yardley,1
Danny,0
Hewitt,1
Tabatha,0
Maggie,0
Garland,1
Kain,1
Vidovik,1
Michaeline,1
Gianina,1
Dick,1
Lynea,0
Angelica,0
Binny,1
Coral,0
Ryan,0
Lissa,0
Ruthanne,0
Desdemona,0
Kristina,0
Levey,1
Xylina,0
Norrie,1
Sammie,0
Torre,0
Ely,0
Augustina,0
Helsa,0
Fancy,1
Blakeley,0
Else,0
Gerrie,0
Keefe,1
Alanna,0
Eda,0
Tiebout,1
Bryn,0
Hillard,1
Trumann,1
Pennie,1
Aylmar,1
Brose,0
Spense,0
Garwood,0
Cheslie,1
Garry,1
Myrle,0
Falito,1
Marnia,1
Sophia,0
Ariana,1
Sigismondo,0
Livvy,1
Orrin,0
Jasmin,1
Delmor,1
Dalt,1
Martica,0
Valentin,1
Raffaello,1
Koralle,0
Anthea,0
Grazia,1
Henryetta,1
Reinald,1
Rosie,0
Lory,1
Rey,1
Krissie,0
Brittani,1
Karlee,1
Joelly,1
Cecil,1
Chelsy,1
Cacilie,1
Janina,1
Dasi,1
Bonnibelle,1
Ariella,1
Maressa,1
Cecil,1
Paulita,1
Darbie,1
Latashia,1
Roxine,1
Crichton,0
Jayson,1
Gorden,0
Melantha,0
Amos,0
Kinna,1
Tore,0
Luz,1
Abdul,1
Elisa,0
Zelig,0
Leo,0
Kylie,1
Johnette,1
Mort,1
Lorianne,1
Conney,0
Valida,1
Joanne,1
Lee,0
Alisha,0
Margaretta,1
Ines,0
Florina,1
Myrah,1
Joyous,0
Dorian,0
Joleen,0
Roxanne,0
Marabel,0
Ellynn,0
Claudina,0
Lion,0
Lola,1
Emmalynn,0
Callean,0
Devin,0
Sigismond,0
Freeland,1
Lara,0
Jesus,1
Mitchell,1
Dominik,0
Neddie,0
Walker,1
Haskel,0
Dru,0
Johan,0
Jo,0
Grata,0
Tanner,0
Janella,0
Carlin,1
Annelise,1
Bobbee,1
Becca,0
Wallie,0
Georges,0
Drusie,1
Chucho,1
Julie,1
Elyn,1
Colly,1
Elbert,1
Kearney,1
Gallard,1
Ashia,0
Dominique,1
Becka,1
Marshall,0
Nicolis,0
Herschel,0
Duky,1
Wanda,0
Worden,0
Chandler,1
Jessey,0
Janaye,1
Margette,0
Adina,1
Linda,0
Oralie,0
Lu,0
Arlin,1
Bertrando,0
Kirstin,1
Warren,0
Doria,1
Fay,1
Clive,0
Simonne,0
Preston,1
Barbette,1
Lek,1
Rahal,0
Kate,1
Wallace,0
Gale,1
Dion,0
Ramsey,1
Clemmy,1
Jandy,1
Lindon,0
Gian,0
Grannie,1
Denney,0
Ina,0
Adelaida,1
Berty,1
Caryl,1
Alejandro,1
Sylvia,0
Mariska,0
Luca,1
Nissie,0
Logan,1
Maegan,0
Waneta,0
Boothe,1
Nil,1
Karoly,0
Mart,1
Karole,1
Annadiana,0
Carrie,0
Evania,0
Caro,1
Margot,0
Lezley,0
Georgy,0
Johanna,0
Selena,0
Elliott,0
Dorri,1
Salmon,0
Willyt,1
Minny,1
Ravid,0
Hieronymus,1
Dorothea,1
Faulkner,0
Nathanil,0
Fidelity,1
Matti,1
Samson,1
Whitby,0
Simone,1
Tandie,1
Chloris,0
Ellissa,0
Vin,1
Eddie,1
Bellanca,1
Merl,0
Ranique,1
Trula,0
Decca,0
Meryl,0
Sibel,0
Robbie,0
Portia,0
Corrina,1
Clarance,0
Torrie,1
Brittne,1
Kathye,1
Jonas,1
Hermia,1
Dulsea,0
Lotte,0
Marylynne,0
Lorry,0
Hodge,0
Barbey,0
Waylon,1
Wendeline,0
Emlynne,1
Domingo,1
Alaster,0
Fiann,0
Keefer,1
Tiff,1
Barrie,1
Callie,0
Ilaire,0
Friedrick,1
Jemima,1
Philis,1
Darby,0
Zola,0
Erroll,1
Berry,1
Quintus,0
Sherwynd,0
Amalee,0
Nanete,1
Adolphe,0
Auberta,0
Cami,0
Roma,0
Trenton,0
Renata,0
Morganica,0
Jenny,1
Caron,1
Obadias,0
Cathe,0
Charisse,1
Liam,1
Cobby,0
Pen,1
Ramsey,0
Reine,1
Mina,0
Hervey,1
Aymer,1
Matthias,1
Lyn,0
Lurleen,0
Tamma,1
Vernon,0
Lucina,1
Thaxter,1
Trever,1
Ashla,0
Denice,0
Janean,1
Stephi,1
Barthel,1
Gretna,1
Nanny,0
Corrianne,1
Berkie,0
Patty,0
Laughton,1
Carson,0
